Name,background,body,clothing,ears,face,hair,horns,lifestyle
75,Common Forest,Common Blue,Common Outfit 5,Common Ears 4,Rare Face 2,Common Hair 4,Common Horns 2,Uncommon Snake
76,Common Forest,Rare Pink,Common Outfit 3,Rare Ears 2,Uncommon Face 3,Common Hair 1,Uncommon Horns 1,Uncommon Whip
77,Common Forest,Rare Pink,Common Outfit 1,Common Ears 2,Uncommon Face 3,Common Hair 2,Common Horns 1,Uncommon Whip
78,Common Clouds,Common Red,Common Outfit 3,Common Ears 4,Uncommon Face 2,Uncommon Hair 2,Rare Horns 1,Uncommon Whip
79,Common Moon,Common Blue,Rare Outfit 1,Common Ears 4,Common Face 2,Common Hair 2,Rare Horns 1,Common Demon Tail
80,Common Forest,Uncommon Purple,Common Outfit 3,Common Ears 5,Uncommon Face 3,Uncommon Hair 1,Uncommon Horns 1,Common Apple
81,Common Moon,Common Red,Common Outfit 1,Common Ears 6,Common Face 2,Rare Hair 1,none,Common Locket
82,Common Moon,Rare Pink,Rare Outfit 1,Common Ears 5,Uncommon Face 3,Common Hair 1,Common Horns 3,Uncommon Whip
83,Common Forest,Uncommon Purple,Rare Outfit 1,Rare Ears 1,Uncommon Face 3,Common Hair 1,none,Common Lace Glove
84,Common Moon,Rare Pink,Common Outfit 6,Rare Ears 2,Uncommon Face 3,Uncommon Hair 1,Uncommon Horns 1,Common Lace Glove
85,Common Moon,Uncommon Purple,Uncommon Outfit 1,Common Ears 6,Rare Face 2,Rare Hair 1,Common Horns 3,Common Spider
86,Common Moon,Common Blue,Common Outfit 5,Common Ears 3,Common Face 6,Uncommon Hair 1,Uncommon Horns 1,Common Lace Glove
87,Common Forest,Rare Pink,Rare Outfit 2,Common Ears 6,Uncommon Face 1,Common Hair 1,Uncommon Horns 1,Common Locket
88,Common Rainbow,Common Blue,Rare Outfit 1,Common Ears 1,Uncommon Face 1,Common Hair 1,Rare Horns 1,Uncommon Whip
89,Common Forest,Rare Pink,Common Outfit 2,Common Ears 3,Common Face 1,Common Hair 1,none,Common Lace Glove
90,Common Rainbow,Common Red,Rare Outfit 2,Common Ears 1,Common Face 1,Uncommon Hair 1,Common Horns 2,Common Apple
91,Common Forest,Rare Pink,Rare Outfit 1,Common Ears 3,Uncommon Face 1,Common Hair 1,Common Horns 3,Common Apple
92,Common Forest,Common Blue,Common Outfit 5,Common Ears 2,Uncommon Face 1,Rare Hair 1,Common Horns 2,Common Lace Glove
93,Common Forest,Common Blue,Common Outfit 3,Common Ears 1,Common Face 5,Uncommon Hair 1,Uncommon Horns 1,Uncommon Snake
94,Common Moon,Common Blue,Common Outfit 4,Rare Ears 1,Common Face 2,Uncommon Hair 2,Uncommon Horns 1,Uncommon Whip
95,Common Clouds,Uncommon Purple,Uncommon Outfit 2,Common Ears 2,Common Face 2,Common Hair 3,Rare Horns 1,Common Demon Tail
96,Common Clouds,Common Blue,Common Outfit 1,Common Ears 6,Rare Face 1,Uncommon Hair 2,Uncommon Horns 1,Common Locket
97,Common Clouds,Rare Pink,Common Outfit 5,Uncommon Ear 1,Uncommon Face 3,Uncommon Hair 1,Common Horns 3,Common Spider
98,Common Clouds,Common Blue,Common Outfit 3,Common Ears 5,Rare Face 1,Common Hair 2,none,Common Locket
99,Common Forest,Common Red,Rare Outfit 1,Uncommon Ear 1,Rare Face 2,Common Hair 4,Common Horns 3,Common Apple
100,Common Rainbow,Rare Pink,Rare Outfit 2,Common Ears 3,Common Face 5,Uncommon Hair 2,Common Horns 2,Common Spider
101,Common Forest,Common Blue,Common Outfit 5,Uncommon Ear 1,Common Face 4,Uncommon Hair 2,Rare Horns 1,Common Locket
102,Common Moon,Uncommon Purple,Common Outfit 5,Common Ears 6,Uncommon Face 3,Uncommon Hair 1,Rare Horns 1,Uncommon Snake
103,Common Rainbow,Uncommon Purple,Common Outfit 2,Common Ears 3,Uncommon Face 1,Rare Hair 1,Common Horns 1,Uncommon Whip
104,Common Moon,Rare Pink,Common Outfit 4,Common Ears 6,Rare Face 1,Common Hair 1,Common Horns 1,Common Locket
105,Common Moon,Rare Pink,Common Outfit 4,Uncommon Ear 1,Rare Face 1,Uncommon Hair 2,none,Common Demon Tail
106,Common Rainbow,Uncommon Purple,Rare Outfit 1,Common Ears 3,Uncommon Face 3,Common Hair 3,Common Horns 2,Common Lace Glove
107,Common Clouds,Rare Pink,Common Outfit 2,Uncommon Ears 2,Uncommon Face 3,Uncommon Hair 2,Rare Horns 1,Common Apple
108,Common Clouds,Rare Pink,Uncommon Outfit 1,Common Ears 4,Uncommon Face 2,Common Hair 4,Common Horns 1,Common Locket
109,Common Clouds,Uncommon Purple,Rare Outfit 2,Common Ears 2,Common Face 1,Common Hair 1,Common Horns 2,Common Locket
110,Common Clouds,Common Red,Common Outfit 3,Common Ears 5,Uncommon Face 2,Uncommon Hair 2,Common Horns 1,Uncommon Whip
111,Common Moon,Common Red,Common Outfit 6,Common Ears 6,Common Face 4,Uncommon Hair 2,Rare Horns 1,Uncommon Snake
112,Common Moon,Common Red,Common Outfit 5,Uncommon Ears 2,Common Face 2,Common Hair 1,Common Horns 2,Common Demon Tail
113,Common Forest,Common Blue,Uncommon Outfit 2,Uncommon Ears 2,Rare Face 1,Rare Hair 1,Common Horns 3,Common Locket
114,Common Moon,Common Blue,Common Outfit 4,Common Ears 5,Common Face 6,Uncommon Hair 1,Uncommon Horns 1,Common Apple
115,Common Clouds,Uncommon Purple,Rare Outfit 1,Rare Ears 2,Common Face 6,Rare Hair 1,Uncommon Horns 1,Uncommon Snake
116,Common Forest,Rare Pink,Common Outfit 3,Common Ears 5,Uncommon Face 3,Rare Hair 1,Common Horns 2,Common Spider
117,Common Clouds,Common Blue,Rare Outfit 1,Common Ears 5,Uncommon Face 2,Uncommon Hair 2,Common Horns 3,Common Demon Tail
118,Common Rainbow,Common Red,Common Outfit 6,Rare Ears 2,Common Face 5,Uncommon Hair 2,Uncommon Horns 1,Common Demon Tail
119,Common Rainbow,Rare Pink,Common Outfit 1,Rare Ears 1,Common Face 1,Common Hair 4,Uncommon Horns 1,Common Demon Tail
120,Common Clouds,Common Blue,Common Outfit 3,Common Ears 1,Common Face 5,Uncommon Hair 2,Common Horns 2,Common Locket
121,Common Forest,Common Blue,Common Outfit 5,Common Ears 6,Rare Face 1,Uncommon Hair 2,Common Horns 2,Uncommon Whip
122,Common Clouds,Uncommon Purple,Rare Outfit 2,Uncommon Ears 2,Common Face 2,Uncommon Hair 1,Common Horns 1,Common Lace Glove
123,Common Rainbow,Common Blue,Common Outfit 4,Common Ears 6,Common Face 2,Uncommon Hair 2,Common Horns 2,Common Demon Tail
124,Common Rainbow,Common Red,Common Outfit 3,Common Ears 1,Common Face 5,Common Hair 2,Common Horns 2,Common Demon Tail
125,Common Forest,Rare Pink,Common Outfit 3,Rare Ears 2,Uncommon Face 2,Common Hair 1,Uncommon Horns 1,Common Locket
126,Common Forest,Rare Pink,Common Outfit 5,Uncommon Ear 1,Common Face 6,Rare Hair 1,Common Horns 3,Common Lace Glove
127,Common Forest,Common Red,Common Outfit 5,Rare Ears 2,Common Face 5,Common Hair 1,none,Common Lace Glove
128,Common Moon,Common Blue,Uncommon Outfit 1,Uncommon Ear 1,Common Face 4,Uncommon Hair 1,Common Horns 1,Common Locket
129,Common Clouds,Uncommon Purple,Common Outfit 4,Uncommon Ear 1,Uncommon Face 3,Common Hair 3,none,Common Apple
130,Common Forest,Uncommon Purple,Rare Outfit 1,Common Ears 4,Common Face 6,Uncommon Hair 2,Common Horns 1,Common Demon Tail
131,Common Clouds,Common Blue,Uncommon Outfit 1,Common Ears 6,Uncommon Face 1,Common Hair 3,Uncommon Horns 1,Common Spider
132,Common Clouds,Common Red,Common Outfit 4,Uncommon Ears 2,Rare Face 1,Common Hair 2,Common Horns 3,Common Demon Tail
133,Common Rainbow,Uncommon Purple,Common Outfit 6,Rare Ears 1,Rare Face 1,Common Hair 2,Rare Horns 1,Common Lace Glove
134,Common Forest,Common Red,Uncommon Outfit 1,Rare Ears 1,Common Face 4,Common Hair 2,Rare Horns 1,Uncommon Whip
135,Common Clouds,Rare Pink,Uncommon Outfit 1,Rare Ears 2,Common Face 6,Common Hair 1,none,Common Spider
136,Common Rainbow,Common Blue,Common Outfit 1,Common Ears 2,Rare Face 2,Common Hair 1,Common Horns 3,Common Spider
137,Common Clouds,Uncommon Purple,Common Outfit 5,Common Ears 3,Uncommon Face 3,Common Hair 2,Common Horns 2,Uncommon Whip
138,Common Moon,Rare Pink,Common Outfit 3,Common Ears 5,Common Face 4,Uncommon Hair 2,Common Horns 3,Uncommon Snake
139,Common Rainbow,Uncommon Purple,Common Outfit 5,Common Ears 3,Uncommon Face 2,Common Hair 3,Common Horns 3,Uncommon Whip
140,Common Moon,Common Red,Uncommon Outfit 1,Rare Ears 2,Common Face 1,Common Hair 1,Common Horns 3,Common Lace Glove
141,Common Rainbow,Rare Pink,Common Outfit 6,Common Ears 3,Uncommon Face 2,Common Hair 1,Common Horns 3,Common Spider
142,Common Clouds,Uncommon Purple,Common Outfit 6,Rare Ears 2,Uncommon Face 3,Uncommon Hair 1,Common Horns 3,Uncommon Snake
143,Common Forest,Rare Pink,Rare Outfit 2,Uncommon Ear 1,Common Face 6,Common Hair 4,Common Horns 2,Common Lace Glove
144,Common Forest,Common Blue,Uncommon Outfit 1,Uncommon Ear 1,Common Face 6,Common Hair 3,Common Horns 3,Common Spider
145,Common Moon,Common Blue,Common Outfit 3,Rare Ears 2,Common Face 5,Rare Hair 1,Uncommon Horns 1,Uncommon Whip
146,Common Clouds,Uncommon Purple,Common Outfit 2,Rare Ears 1,Uncommon Face 1,Common Hair 2,Common Horns 1,Common Spider
147,Common Clouds,Uncommon Purple,Common Outfit 5,Rare Ears 2,Uncommon Face 3,Common Hair 2,Common Horns 1,Common Spider
148,Common Clouds,Common Red,Common Outfit 1,Rare Ears 1,Common Face 2,Uncommon Hair 1,none,Common Spider
149,Common Rainbow,Common Red,Uncommon Outfit 1,Common Ears 2,Common Face 4,Uncommon Hair 2,Common Horns 2,Common Locket
150,Common Rainbow,Common Blue,Common Outfit 4,Uncommon Ear 1,Rare Face 1,Uncommon Hair 1,Common Horns 1,Uncommon Whip
151,Common Clouds,Common Blue,Common Outfit 1,Common Ears 3,Rare Face 1,Uncommon Hair 1,none,Common Locket
152,Common Clouds,Common Blue,Rare Outfit 1,Rare Ears 1,Common Face 1,Uncommon Hair 1,Rare Horns 1,Uncommon Snake
153,Common Moon,Uncommon Purple,Rare Outfit 1,Common Ears 1,Common Face 2,Rare Hair 1,Common Horns 3,Common Apple
154,Common Moon,Common Red,Common Outfit 5,Common Ears 1,Common Face 1,Common Hair 2,none,Uncommon Snake
155,Common Clouds,Common Blue,Common Outfit 3,Common Ears 4,Uncommon Face 1,Common Hair 1,none,Common Demon Tail
156,Common Forest,Common Red,Common Outfit 3,Common Ears 6,Common Face 5,Common Hair 3,Common Horns 1,Common Apple
157,Common Clouds,Rare Pink,Rare Outfit 1,Rare Ears 1,Common Face 4,Common Hair 2,Common Horns 3,Common Spider
158,Common Forest,Common Blue,Common Outfit 2,Common Ears 4,Common Face 1,Uncommon Hair 1,Common Horns 2,Uncommon Snake
159,Common Moon,Common Blue,Common Outfit 1,Common Ears 5,Uncommon Face 3,Common Hair 1,Common Horns 2,Uncommon Snake
160,Common Rainbow,Common Blue,Common Outfit 1,Common Ears 1,Common Face 6,Uncommon Hair 2,Rare Horns 1,Uncommon Snake
161,Common Forest,Common Red,Rare Outfit 2,Common Ears 1,Common Face 6,Uncommon Hair 2,Uncommon Horns 1,Common Demon Tail
162,Common Clouds,Common Blue,Common Outfit 6,Uncommon Ear 1,Common Face 6,Uncommon Hair 1,Rare Horns 1,Uncommon Whip
163,Common Clouds,Uncommon Purple,Rare Outfit 1,Rare Ears 2,Common Face 1,Rare Hair 1,Rare Horns 1,Common Spider
164,Common Rainbow,Rare Pink,Uncommon Outfit 1,Common Ears 2,Uncommon Face 1,Common Hair 4,Uncommon Horns 1,Common Spider
165,Common Rainbow,Rare Pink,Rare Outfit 2,Uncommon Ears 2,Common Face 1,Rare Hair 1,none,Common Demon Tail
166,Common Clouds,Uncommon Purple,Common Outfit 2,Common Ears 5,Rare Face 2,Uncommon Hair 2,Rare Horns 1,Common Spider
167,Common Moon,Common Red,Rare Outfit 1,Common Ears 2,Common Face 1,Common Hair 2,Common Horns 3,Uncommon Whip
168,Common Rainbow,Common Blue,Common Outfit 4,Common Ears 3,Common Face 1,Common Hair 1,Rare Horns 1,Common Spider
169,Common Moon,Uncommon Purple,Common Outfit 4,Rare Ears 2,Common Face 6,Common Hair 4,Common Horns 2,Common Lace Glove
170,Common Clouds,Rare Pink,Common Outfit 2,Common Ears 1,Rare Face 2,Uncommon Hair 2,none,Common Locket
171,Common Moon,Rare Pink,Rare Outfit 2,Common Ears 3,Uncommon Face 2,Rare Hair 1,Common Horns 1,Common Apple
172,Common Forest,Rare Pink,Common Outfit 6,Common Ears 1,Uncommon Face 2,Common Hair 4,Common Horns 3,Uncommon Snake
173,Common Forest,Common Red,Rare Outfit 2,Common Ears 6,Uncommon Face 1,Uncommon Hair 1,none,Common Apple
174,Common Forest,Common Blue,Uncommon Outfit 1,Uncommon Ear 1,Common Face 4,Common Hair 3,Uncommon Horns 1,Uncommon Snake
175,Common Moon,Uncommon Purple,Common Outfit 1,Uncommon Ears 2,Uncommon Face 2,Uncommon Hair 2,Uncommon Horns 1,Uncommon Snake
176,Common Clouds,Common Red,Common Outfit 1,Uncommon Ears 2,Common Face 5,Common Hair 4,none,Common Apple
177,Common Forest,Common Blue,Common Outfit 4,Common Ears 2,Uncommon Face 1,Uncommon Hair 2,none,Common Apple
178,Common Forest,Rare Pink,Rare Outfit 1,Common Ears 3,Rare Face 1,Rare Hair 1,Rare Horns 1,Common Spider
179,Common Forest,Common Blue,Common Outfit 5,Common Ears 2,Rare Face 2,Uncommon Hair 2,Uncommon Horns 1,Common Lace Glove
180,Common Clouds,Common Blue,Common Outfit 3,Common Ears 4,Uncommon Face 2,Uncommon Hair 1,Common Horns 1,Common Spider
181,Common Clouds,Rare Pink,Common Outfit 3,Common Ears 3,Common Face 5,Common Hair 3,Common Horns 3,Common Demon Tail
182,Common Forest,Uncommon Purple,Common Outfit 4,Common Ears 6,Uncommon Face 3,Common Hair 4,Common Horns 1,Uncommon Whip
183,Common Moon,Common Blue,Common Outfit 1,Uncommon Ear 1,Rare Face 2,Rare Hair 1,Common Horns 2,Common Lace Glove
184,Common Clouds,Common Red,Uncommon Outfit 2,Rare Ears 1,Common Face 4,Common Hair 3,Common Horns 1,Common Locket
185,Common Clouds,Common Blue,Common Outfit 5,Rare Ears 1,Uncommon Face 1,Uncommon Hair 2,Rare Horns 1,Common Locket
186,Common Moon,Common Blue,Rare Outfit 1,Common Ears 2,Common Face 4,Uncommon Hair 2,none,Common Demon Tail
187,Common Forest,Rare Pink,Uncommon Outfit 1,Common Ears 5,Common Face 6,Uncommon Hair 2,Uncommon Horns 1,Common Spider
188,Common Clouds,Rare Pink,Rare Outfit 2,Common Ears 4,Uncommon Face 2,Common Hair 1,Common Horns 3,Common Apple
189,Common Rainbow,Uncommon Purple,Common Outfit 6,Common Ears 1,Uncommon Face 3,Common Hair 3,none,Uncommon Snake
190,Common Rainbow,Uncommon Purple,Common Outfit 5,Uncommon Ear 1,Uncommon Face 2,Rare Hair 1,Common Horns 1,Uncommon Snake
191,Common Forest,Rare Pink,Common Outfit 1,Rare Ears 2,Common Face 2,Common Hair 3,none,Common Lace Glove
192,Common Clouds,Rare Pink,Common Outfit 2,Common Ears 6,Common Face 2,Uncommon Hair 1,Common Horns 2,Common Demon Tail
193,Common Rainbow,Common Red,Common Outfit 6,Common Ears 6,Common Face 5,Rare Hair 1,Common Horns 1,Common Lace Glove
194,Common Clouds,Common Blue,Uncommon Outfit 1,Rare Ears 2,Common Face 1,Common Hair 1,Common Horns 2,Uncommon Whip
195,Common Forest,Common Red,Common Outfit 1,Uncommon Ears 2,Rare Face 1,Common Hair 2,Common Horns 1,Common Demon Tail
196,Common Rainbow,Common Blue,Common Outfit 2,Common Ears 2,Common Face 4,Common Hair 1,Rare Horns 1,Common Demon Tail
197,Common Rainbow,Rare Pink,Common Outfit 1,Common Ears 1,Rare Face 1,Common Hair 3,Common Horns 1,Common Spider
198,Common Forest,Rare Pink,Uncommon Outfit 2,Common Ears 3,Rare Face 2,Common Hair 2,Common Horns 2,Common Spider
199,Common Clouds,Rare Pink,Rare Outfit 2,Common Ears 3,Common Face 6,Common Hair 1,Uncommon Horns 1,Common Spider
200,Common Clouds,Uncommon Purple,Uncommon Outfit 2,Uncommon Ear 1,Common Face 2,Uncommon Hair 1,Common Horns 2,Common Apple
201,Common Rainbow,Rare Pink,Common Outfit 3,Uncommon Ear 1,Uncommon Face 1,Uncommon Hair 2,Common Horns 1,Common Spider
202,Common Clouds,Common Blue,Common Outfit 6,Rare Ears 2,Uncommon Face 2,Common Hair 3,Common Horns 3,Uncommon Whip
203,Common Moon,Uncommon Purple,Rare Outfit 1,Uncommon Ears 2,Uncommon Face 1,Common Hair 2,Common Horns 3,Common Apple
204,Common Clouds,Common Blue,Common Outfit 5,Rare Ears 2,Common Face 6,Rare Hair 1,Common Horns 3,Uncommon Whip
205,Common Moon,Uncommon Purple,Common Outfit 2,Common Ears 1,Common Face 4,Common Hair 2,Common Horns 2,Uncommon Whip
206,Common Rainbow,Uncommon Purple,Rare Outfit 1,Common Ears 4,Common Face 5,Uncommon Hair 2,Uncommon Horns 1,Common Spider
207,Common Moon,Rare Pink,Common Outfit 6,Common Ears 3,Common Face 1,Common Hair 3,Common Horns 1,Common Locket
208,Common Rainbow,Common Red,Uncommon Outfit 2,Common Ears 2,Uncommon Face 3,Common Hair 3,Common Horns 3,Uncommon Whip
